level_id,session_date,year,side,entry_time,exit_time,entry_price,exit_price,anchor,cap,v_score,exit_reason,pnl
1208_lower,2022-09-13,2022,lower,2022-09-13 08:38:00-04:00,2022-09-13 08:54:00-04:00,12534.14248684713,12496.64248684713,25.0,37.5,0.011585710694985547,SL,-37.5
1222_lower,2022-10-03,2022,lower,2022-10-02 19:52:00-04:00,2022-10-03 02:07:00-04:00,10951.813380464959,11058.688380464959,71.25,106.875,0.010246978455070941,TP,106.875
1223_upper,2022-10-04,2022,upper,2022-10-03 20:17:00-04:00,2022-10-03 23:42:00-04:00,11394.19061439567,11394.19061439567,48.0,72.0,0.013605898123324398,BE,-0.0
1233_upper,2022-10-18,2022,upper,2022-10-17 23:42:00-04:00,2022-10-17 23:47:00-04:00,11282.132898557971,11305.007898557971,15.25,22.875,0.013418762088974854,SL,-22.875
1256_upper,2022-11-18,2022,upper,2022-11-18 05:40:00-05:00,2022-11-18 10:03:00-05:00,11797.285748835813,11702.785748835813,63.0,94.5,0.011646803900325027,TP,94.5
1266_lower,2022-12-02,2022,lower,2022-12-02 08:31:00-05:00,2022-12-02 08:54:00-05:00,11789.394449088326,11839.269449088326,33.25,49.875,0.019304633111946867,TP,49.875
1254_upper,2022-12-13,2022,upper,2022-12-13 08:30:00-05:00,2022-12-13 08:30:00-05:00,12218.957330024152,12292.082330024152,48.75,73.125,0.023522485140742403,SL,-73.125
1278_lower,2022-12-20,2022,lower,2022-12-19 22:11:00-05:00,2022-12-19 22:43:00-05:00,11121.328961004048,11092.453961004048,19.25,28.875,0.011632979496873638,SL,-28.875
1295_upper,2023-01-16,2023,upper,2023-01-15 20:58:00-05:00,2023-01-16 01:29:00-05:00,11631.48996521479,11593.61496521479,25.25,37.875,0.01522020725388601,TP,37.875
1335_upper,2023-03-13,2023,upper,2023-03-13 02:12:00-04:00,2023-03-13 03:00:00-04:00,12213.8751113092,12213.8751113092,32.5,48.75,0.015506807866868382,BE,-0.0
1333_upper,2023-03-15,2023,upper,2023-03-14 22:08:00-04:00,2023-03-15 01:34:00-04:00,12357.00815734723,12322.88315734723,22.75,34.125,0.012,TP,34.125
1399_upper,2023-06-12,2023,upper,2023-06-12 02:16:00-04:00,2023-06-12 04:00:00-04:00,14781.10558132931,14804.73058132931,15.75,23.625,0.016203703703703703,SL,-23.625
1404_lower,2023-06-20,2023,lower,2023-06-20 01:20:00-04:00,2023-06-20 02:06:00-04:00,15222.97180417187,15222.97180417187,8.25,12.375,0.010498687664041995,BE,0.0
1495_lower,2023-10-26,2023,lower,2023-10-25 19:21:00-04:00,2023-10-25 20:49:00-04:00,14341.862903533696,14341.862903533696,76.5,114.75,0.010471204188481676,BE,0.0
1530_upper,2023-12-12,2023,upper,2023-12-11 19:21:00-05:00,2023-12-12 00:42:00-05:00,16478.359105597912,16478.359105597912,15.25,22.875,0.011893870082342177,BE,-0.0
1553_lower,2024-01-16,2024,lower,2024-01-16 03:03:00-05:00,2024-01-16 03:49:00-05:00,16837.32090714007,16837.32090714007,27.75,41.625,0.01300973828362751,BE,0.0
1578_lower,2024-02-20,2024,lower,2024-02-20 03:21:00-05:00,2024-02-20 04:02:00-05:00,17652.603222612077,17694.228222612077,27.75,41.625,0.01113682383569569,TP,41.625
1621_upper,2024-04-24,2024,upper,2024-04-23 21:48:00-04:00,2024-04-24 05:50:00-04:00,17727.306506392364,17676.681506392364,33.75,50.625,0.012753036437246963,TP,50.625
1655_upper,2024-06-12,2024,upper,2024-06-11 19:00:00-04:00,2024-06-12 08:29:00-04:00,19260.324238183544,19299.324238183544,26.0,39.0,0.010471204188481676,SL,-39.0
1668_upper,2024-06-26,2024,upper,2024-06-26 03:24:00-04:00,2024-06-26 03:54:00-04:00,20035.72334406313,20062.72334406313,18.0,27.0,0.012607505863956215,SL,-27.0
1682_lower,2024-07-17,2024,lower,2024-07-17 03:06:00-04:00,2024-07-17 07:33:00-04:00,20414.57002644139,20267.94502644139,97.75,146.625,0.01005258274048871,SL,-146.625
1688_lower,2024-07-24,2024,lower,2024-07-24 00:20:00-04:00,2024-07-24 04:18:00-04:00,19747.333224551483,19703.083224551483,29.5,44.25,0.017181781211874747,SL,-44.25
1694_upper,2024-08-01,2024,upper,2024-07-31 19:16:00-04:00,2024-08-01 04:08:00-04:00,19669.08822149362,19576.08822149362,62.0,93.0,0.012988619495299357,TP,93.0
1690_lower,2024-08-02,2024,lower,2024-08-01 22:22:00-04:00,2024-08-01 23:32:00-04:00,18719.653445721407,18799.153445721407,53.0,79.5,0.03453728362183755,TP,79.5
1696_lower,2024-08-05,2024,lower,2024-08-04 20:52:00-04:00,2024-08-05 00:36:00-04:00,18164.805856265015,17964.805856265015,144.25,200.0,0.010352872557596968,SL,-200.0
1697_upper,2024-08-06,2024,upper,2024-08-05 20:48:00-04:00,2024-08-06 04:13:00-04:00,18314.59494601252,18174.71994601252,93.25,139.875,0.025152439024390245,TP,139.875
1701_upper,2024-08-13,2024,upper,2024-08-13 03:06:00-04:00,2024-08-13 06:27:00-04:00,18769.267023665285,18684.892023665285,56.25,84.375,0.012644364794902429,TP,84.375
1704_lower,2024-09-06,2024,lower,2024-09-06 03:14:00-04:00,2024-09-06 08:30:00-04:00,18787.370575135792,18874.745575135792,58.25,87.375,0.012121680049413218,TP,87.375
1720_upper,2024-09-12,2024,upper,2024-09-12 00:34:00-04:00,2024-09-12 08:38:00-04:00,19315.447828247725,19253.572828247725,41.25,61.875,0.014516129032258065,TP,61.875
1716_upper,2024-09-17,2024,upper,2024-09-17 07:52:00-04:00,2024-09-17 09:50:00-04:00,19794.106040363484,19738.981040363484,36.75,55.125,0.020929561200923787,TP,55.125
1729_upper,2024-09-19,2024,upper,2024-09-19 03:58:00-04:00,2024-09-19 04:50:00-04:00,19938.759423010662,19938.759423010662,57.25,85.875,0.010641093011035208,BE,-0.0
1730_upper,2024-09-26,2024,upper,2024-09-25 23:39:00-04:00,2024-09-26 01:23:00-04:00,20354.416612917434,20387.791612917434,22.25,33.375,0.017354596622889306,SL,-33.375
1757_lower,2024-10-31,2024,lower,2024-10-31 02:48:00-04:00,2024-10-31 03:12:00-04:00,20354.781234151604,20313.906234151604,27.25,40.875,0.01064875491480996,SL,-40.875
1762_upper,2024-11-06,2024,upper,2024-11-05 21:09:00-05:00,2024-11-05 21:36:00-05:00,20430.183873389637,20499.558873389637,46.25,69.375,0.01071826280623608,SL,-69.375
1770_lower,2024-11-15,2024,lower,2024-11-14 20:11:00-05:00,2024-11-14 20:59:00-05:00,20892.111380793085,20892.111380793085,43.0,64.5,0.01031331592689295,BE,0.0
1783_upper,2024-12-04,2024,upper,2024-12-04 00:38:00-05:00,2024-12-04 01:30:00-05:00,21364.40750052978,21340.40750052978,16.0,24.0,0.010131108462455305,TP,24.0
1768_upper,2024-12-04,2024,upper,2024-12-04 05:50:00-05:00,2024-12-04 08:57:00-05:00,21406.807232979983,21446.182232979983,26.25,39.375,0.01028999064546305,SL,-39.375
1786_lower,2024-12-20,2024,lower,2024-12-19 19:16:00-05:00,2024-12-20 03:37:00-05:00,21291.86742736369,21192.49242736369,66.25,99.375,0.0133492252681764,SL,-99.375
1798_upper,2024-12-26,2024,upper,2024-12-25 22:23:00-05:00,2024-12-26 02:01:00-05:00,22102.530090185646,22066.530090185646,24.0,36.0,0.018300248138957816,TP,36.0
1803_upper,2025-01-06,2025,upper,2025-01-06 03:47:00-05:00,2025-01-06 04:58:00-05:00,21612.9893337931,21668.1143337931,36.75,55.125,0.012407602956705385,SL,-55.125
1806_lower,2025-01-10,2025,lower,2025-01-10 08:35:00-05:00,2025-01-10 08:40:00-05:00,21047.201412505878,21146.951412505878,66.5,99.75,0.013343505297098112,TP,99.75
1796_lower,2025-01-13,2025,lower,2025-01-13 03:42:00-05:00,2025-01-13 04:04:00-05:00,20812.622135091402,20739.122135091402,49.0,73.5,0.010177705977382876,SL,-73.5
1813_lower,2025-01-21,2025,lower,2025-01-20 19:53:00-05:00,2025-01-20 20:00:00-05:00,21503.086594849883,21402.586594849883,67.0,100.5,0.0273445516109173,SL,-100.5
1828_lower,2025-02-12,2025,lower,2025-02-12 08:36:00-05:00,2025-02-12 09:31:00-05:00,21540.774109111204,21540.774109111204,51.75,77.625,0.013273360133346407,BE,0.0
1817_upper,2025-02-17,2025,upper,2025-02-16 20:36:00-05:00,2025-02-17 09:35:00-05:00,22250.5219911343,22210.3969911343,26.75,40.125,0.010861423220973783,TP,40.125
1832_upper,2025-02-18,2025,upper,2025-02-18 02:07:00-05:00,2025-02-18 02:58:00-05:00,22313.494446651624,22313.494446651624,52.75,79.125,0.012352507374631269,BE,-0.0
1830_lower,2025-02-25,2025,lower,2025-02-25 05:51:00-05:00,2025-02-25 07:58:00-05:00,21298.48825970309,21421.48825970309,82.0,123.0,0.02205005959475566,TP,123.0
1851_lower,2025-03-31,2025,lower,2025-03-31 07:32:00-04:00,2025-03-31 08:36:00-04:00,19132.060649987903,19204.810649987903,48.5,72.75,0.010189437428243398,TP,72.75
1873_lower,2025-04-16,2025,lower,2025-04-15 20:13:00-04:00,2025-04-16 01:19:00-04:00,18689.628057598842,18586.128057598842,69.0,103.5,0.010680034873583261,SL,-103.5
1876_upper,2025-04-23,2025,upper,2025-04-23 04:40:00-04:00,2025-04-23 06:03:00-04:00,18854.922596162818,18854.922596162818,77.0,115.5,0.010392609699769052,BE,-0.0
1889_upper,2025-05-08,2025,upper,2025-05-08 00:41:00-04:00,2025-05-08 04:17:00-04:00,20194.64849673071,20194.64849673071,73.75,110.625,0.01457667731629393,BE,-0.0
1896_lower,2025-05-19,2025,lower,2025-05-18 23:41:00-04:00,2025-05-19 02:10:00-04:00,21217.734988096745,21277.359988096745,39.75,59.625,0.012807017543859649,TP,59.625
1895_upper,2025-05-20,2025,upper,2025-05-19 19:32:00-04:00,2025-05-19 20:58:00-04:00,21548.17602820053,21515.17602820053,22.0,33.0,0.015512048192771084,TP,33.0
1897_lower,2025-05-23,2025,lower,2025-05-23 07:44:00-04:00,2025-05-23 07:49:00-04:00,20911.397499358634,20841.647499358634,46.5,69.75,0.01115525672371638,SL,-69.75
1897_upper,2025-05-29,2025,upper,2025-05-28 19:00:00-04:00,2025-05-28 20:47:00-04:00,21624.227500641366,21786.227500641366,108.0,162.0,0.012257405515832482,SL,-162.0
1904_lower,2025-05-30,2025,lower,2025-05-30 08:11:00-04:00,2025-05-30 08:14:00-04:00,21233.893876349917,21300.643876349917,44.5,66.75,0.014805825242718446,TP,66.75
1908_upper,2025-06-05,2025,upper,2025-06-05 03:27:00-04:00,2025-06-05 03:42:00-04:00,21806.20617937395,21838.08117937395,21.25,31.875,0.011159959418329387,SL,-31.875
1913_lower,2025-06-13,2025,lower,2025-06-12 20:05:00-04:00,2025-06-12 22:43:00-04:00,21631.84416599201,21472.46916599201,106.25,159.375,0.03684072192044857,SL,-159.375
1916_upper,2025-06-16,2025,upper,2025-06-16 03:07:00-04:00,2025-06-16 09:31:00-04:00,21986.976553121214,22065.351553121214,52.25,78.375,0.02080706179066835,SL,-78.375
1918_lower,2025-06-19,2025,lower,2025-06-18 21:04:00-04:00,2025-06-18 22:02:00-04:00,21823.793626264163,21823.793626264163,104.75,157.125,0.02185017026106697,BE,0.0
