level_id,session_date,year,side,entry_time,exit_time,entry_price,exit_price,level,anchor,cap,exit_reason,pnl,gap_through,source
187_upper,2018-10-01,2018,upper,2018-09-30 19:08:00-04:00,2018-09-30 20:14:00-04:00,7688.758399715875,7688.758399715875,7688.758399715875,16.0,24.0,BE,-0.0,False,build_years
175_upper,2018-10-01,2018,upper,2018-09-30 22:17:00-04:00,2018-10-01 03:48:00-04:00,7702.894612183031,7714.894612183031,7702.894612183031,8.0,12.0,SL,-12.0,False,build_years
193_lower,2018-10-02,2018,lower,2018-10-02 04:46:00-04:00,2018-10-02 09:50:00-04:00,7641.621028945046,7675.933528945046,7641.621028945046,15.25,22.875,TP,34.3125,False,build_years
195_lower,2018-10-04,2018,lower,2018-10-03 21:36:00-04:00,2018-10-04 05:00:00-04:00,7629.524241982807,7605.149241982807,7629.524241982807,16.25,24.375,SL,-24.375,False,build_years
194_lower,2018-10-04,2018,lower,2018-10-04 09:40:00-04:00,2018-10-04 10:20:00-04:00,7588.947492919474,7560.447492919474,7588.947492919474,19.0,28.5,SL,-28.5,False,build_years
198_lower,2018-10-10,2018,lower,2018-10-10 09:50:00-04:00,2018-10-10 09:57:00-04:00,7286.224538054712,7250.974538054712,7286.224538054712,23.5,35.25,SL,-35.25,False,build_years
208_lower,2018-10-23,2018,lower,2018-10-23 05:17:00-04:00,2018-10-23 07:36:00-04:00,7032.3496815496055,7032.3496815496055,7032.3496815496055,17.5,26.25,BE,0.0,False,build_years
203_lower,2018-10-23,2018,lower,2018-10-23 09:30:00-04:00,2018-10-23 09:37:00-04:00,7000.761047057629,7046.886047057629,7000.761047057629,20.5,30.75,TP,46.125,False,build_years
211_lower,2018-10-26,2018,lower,2018-10-26 05:25:00-04:00,2018-10-26 09:36:00-04:00,6762.610909414232,6846.423409414232,6762.610909414232,37.25,55.875,TP,83.8125,False,build_years
214_upper,2018-10-31,2018,upper,2018-10-31 04:37:00-04:00,2018-10-31 06:44:00-04:00,6889.683844244571,6889.683844244571,6889.683844244571,21.25,31.875,BE,-0.0,False,build_years
215_upper,2018-11-02,2018,upper,2018-11-02 01:04:00-04:00,2018-11-02 12:37:00-04:00,7089.567462295751,6946.129962295751,7089.567462295751,63.75,95.625,TP,143.4375,False,build_years
217_lower,2018-11-05,2018,lower,2018-11-05 09:44:00-05:00,2018-11-05 10:11:00-05:00,6903.866612075746,6877.241612075746,6903.866612075746,17.75,26.625,SL,-26.625,False,build_years
218_upper,2018-11-07,2018,upper,2018-11-07 03:20:00-05:00,2018-11-07 04:37:00-05:00,7081.0047610942565,7114.0047610942565,7081.0047610942565,22.0,33.0,SL,-33.0,False,build_years
221_lower,2018-11-09,2018,lower,2018-11-09 06:37:00-05:00,2018-11-09 09:35:00-05:00,7094.461029890275,7094.461029890275,7094.461029890275,24.75,37.125,BE,0.0,False,build_years
220_lower,2018-11-12,2018,lower,2018-11-12 09:32:00-05:00,2018-11-12 10:03:00-05:00,6976.819470200613,6914.194470200613,6976.819470200613,41.75,62.625,SL,-62.625,False,build_years
215_lower,2018-11-13,2018,lower,2018-11-12 19:44:00-05:00,2018-11-12 22:32:00-05:00,6812.432537704249,6861.370037704249,6812.432537704249,21.75,32.625,TP,48.9375,False,build_years
214_lower,2018-11-20,2018,lower,2018-11-20 08:40:00-05:00,2018-11-20 10:14:00-05:00,6537.816155755429,6456.441155755429,6537.816155755429,54.25,81.375,SL,-81.375,False,build_years
229_upper,2018-11-21,2018,upper,2018-11-21 09:31:00-05:00,2018-11-21 09:51:00-05:00,6638.488855974993,6582.238855974993,6638.488855974993,25.0,37.5,TP,56.25,False,build_years
230_lower,2018-11-23,2018,lower,2018-11-23 08:43:00-05:00,2018-11-23 09:30:00-05:00,6499.389445867615,6538.764445867615,6499.389445867615,17.5,26.25,TP,39.375,False,build_years
