sess_date,year,side,touched_at,level,anchor,cap,pnl,exit
2019-03-12,2019,upper,2019-03-12 10:52:00-04:00,7239.520365503685,27.0,40.5,-0.0,BE
2019-02-27,2019,lower,2019-02-27 10:12:00-05:00,7064.729634496315,33.0,49.5,49.5,TP
2019-03-08,2019,lower,2019-03-08 08:30:00-05:00,6997.363172864292,11.75,17.625,-17.625,SL
2019-03-08,2019,lower,2019-03-08 08:30:00-05:00,7002.32192120025,11.75,17.625,-17.625,SL
2019-03-07,2019,lower,2019-03-07 09:52:00-05:00,7046.228911668111,21.25,31.875,31.875,TP
2019-03-13,2019,upper,2019-03-13 10:54:00-04:00,7286.849173181967,30.5,45.75,-12.900826818033238,cutoff
2019-03-07,2019,lower,2019-03-07 09:51:00-05:00,7052.518404956469,21.25,31.875,-31.875,SL
2019-03-13,2019,upper,2019-03-13 07:49:00-04:00,7254.348981556593,7.5,11.25,-11.25,SL
2019-03-07,2019,lower,2019-03-07 09:45:00-05:00,7060.651018443407,21.25,31.875,-31.875,SL
2019-03-11,2019,upper,2019-03-11 07:37:00-04:00,7079.351229478745,10.0,15.0,-0.0,BE
2019-03-18,2019,upper,2019-03-18 09:59:00-04:00,7368.837898797194,11.0,16.5,-0.0,BE
2019-03-19,2019,upper,2019-03-19 09:32:00-04:00,7397.472417063351,9.0,13.5,13.5,TP
2019-03-21,2019,upper,2019-03-21 10:53:00-04:00,7465.630497448418,66.25,99.375,-56.36950255158172,cutoff
2019-03-25,2019,lower,2019-03-24 20:56:00-04:00,7307.869502551582,10.0,15.0,15.0,TP
2019-03-21,2019,upper,2019-03-21 10:54:00-04:00,7467.038310638973,66.25,99.375,-54.96168936102731,cutoff
2019-04-01,2019,upper,2019-03-31 19:05:00-04:00,7456.469971114593,26.0,39.0,-0.0,BE
2019-04-01,2019,upper,2019-03-31 22:29:00-04:00,7482.820855698254,12.5,18.75,-0.0,BE
2019-04-01,2019,upper,2019-03-31 22:35:00-04:00,7484.303039256203,12.5,18.75,-0.0,BE
2019-04-03,2019,upper,2019-04-02 21:45:00-04:00,7558.805613354298,41.5,62.25,-5.694386645702252,cutoff
2019-04-03,2019,upper,2019-04-03 10:33:00-04:00,7585.997078632583,18.75,28.125,-28.125,SL
2019-04-11,2019,upper,2019-04-10 19:41:00-04:00,7652.17423834249,6.75,10.125,-0.0,BE
2019-04-16,2019,upper,2019-04-16 01:26:00-04:00,7669.1989488229265,2.75,4.125,4.125,TP
2019-04-16,2019,upper,2019-04-16 01:26:00-04:00,7672.597085800537,2.75,4.125,4.125,TP
2019-04-16,2019,upper,2019-04-16 01:24:00-04:00,7665.607932421239,2.75,4.125,-4.125,SL
2019-04-16,2019,upper,2019-04-16 03:48:00-04:00,7680.502786871926,7.25,10.875,-0.0,BE
2019-04-16,2019,upper,2019-04-16 03:48:00-04:00,7678.5915135364285,7.25,10.875,-0.0,BE
2019-05-09,2019,lower,2019-05-09 09:37:00-04:00,7532.7834864635715,30.75,46.125,-46.125,SL
2019-04-17,2019,upper,2019-04-17 09:09:00-04:00,7723.177220731988,17.25,25.875,25.875,TP
2019-05-09,2019,lower,2019-05-09 08:48:00-04:00,7555.072779268012,18.25,27.375,-27.375,SL
2019-04-17,2019,upper,2019-04-17 08:46:00-04:00,7721.395824509398,8.75,13.125,13.125,TP
2019-05-09,2019,lower,2019-05-09 03:01:00-04:00,7572.229175490602,29.75,44.625,0.0,BE
2019-05-09,2019,lower,2019-05-09 09:06:00-04:00,7544.731705096579,30.75,46.125,-46.125,SL
2019-04-23,2019,upper,2019-04-23 09:40:00-04:00,7759.347326082558,9.5,14.25,-14.25,SL
2019-04-23,2019,upper,2019-04-23 09:44:00-04:00,7769.013939219249,9.5,14.25,-14.25,SL
2019-04-25,2019,upper,2019-04-24 20:30:00-04:00,7863.296757331215,5.75,8.625,-0.0,BE
2019-05-07,2019,lower,2019-05-07 10:51:00-04:00,7659.832505815985,57.5,86.25,0.0,BE
2019-05-06,2019,lower,2019-05-05 20:01:00-04:00,7693.0244004959895,51.5,77.25,0.0,BE
