touched_at,year,side,z_gate,gate_pass,cap_5min,cap_30min,cap_1h,cap_4h,entry,sign
2023-08-29 10:18:00-04:00,2023,upper,2.6863956017715505,False,3.3999999999998636,4.7999999999999545,5.2999999999999545,7.7999999999999545,1961.2132329402746,-1.0
2023-08-29 10:19:00-04:00,2023,upper,2.6863956017715505,False,3.3999999999998636,4.7999999999999545,5.2999999999999545,7.7999999999999545,1961.753612580219,-1.0
2023-08-29 10:09:00-04:00,2023,upper,7.719241431991139,False,10.200000000000045,4.7999999999999545,5.2999999999999545,7.7999999999999545,1960.6264163870442,-1.0
2023-08-28 11:42:00-04:00,2023,upper,3.680253363941778,False,2.8999999999998636,3.1000000000001364,2.7000000000000455,2.1000000000001364,1953.114787455577,-1.0
2023-08-28 11:37:00-04:00,2023,upper,3.207857944701183,False,2.0,3.1000000000001364,2.7000000000000455,2.1000000000001364,1952.7947048646354,-1.0
2023-08-24 00:47:00-04:00,2023,upper,1.0459941745162307,False,0.7000000000000455,1.2000000000000455,2.2000000000000455,4.099999999999909,1950.6481982975904,-1.0
2023-08-30 08:31:00-04:00,2023,upper,2.617144579986023,False,2.2000000000000455,3.800000000000182,2.6000000000001364,4.600000000000136,1973.981360810124,-1.0
2023-08-30 08:15:00-04:00,2023,upper,-0.0967463889752199,False,1.400000000000091,1.7000000000000455,2.6000000000001364,4.600000000000136,1970.3414360758507,-1.0
2023-08-30 08:30:00-04:00,2023,upper,2.617144579986023,False,2.2000000000000455,3.800000000000182,2.6000000000001364,4.600000000000136,1970.4067367651273,-1.0
2023-08-30 08:30:00-04:00,2023,upper,2.617144579986023,False,2.2000000000000455,3.800000000000182,2.6000000000001364,4.600000000000136,1970.8987572872443,-1.0
2023-09-06 03:59:00-04:00,2023,lower,-1.3264631722963711,False,0.7999999999999545,2.7999999999999545,2.8999999999998636,2.5,1948.0860380700212,1.0
2023-09-06 10:02:00-04:00,2023,lower,1.891481025701291,True,2.2999999999999545,8.400000000000091,8.5,5.300000000000182,1944.6254816226256,1.0
2023-09-06 10:36:00-04:00,2023,lower,-2.2099040239473995,False,2.400000000000091,9.5,8.5,5.300000000000182,1941.8501510530477,1.0
2023-09-06 10:36:00-04:00,2023,lower,-2.2099040239473995,False,2.400000000000091,9.5,8.5,5.300000000000182,1941.7409657519627,1.0
2023-09-12 08:25:00-04:00,2023,lower,-2.744610935412996,False,1.7999999999999545,2.400000000000091,4.400000000000091,10.400000000000091,1930.6049823501544,1.0
2023-09-26 11:07:00-04:00,2023,lower,-1.8621722715390856,False,1.8999999999998636,2.7000000000000455,3.8999999999998636,5.5,1920.31289571353,1.0
2023-09-26 11:07:00-04:00,2023,lower,-1.8621722715390856,False,1.8999999999998636,2.7000000000000455,3.8999999999998636,5.5,1919.5820711185518,1.0
2023-09-26 11:07:00-04:00,2023,lower,-1.8621722715390856,False,1.8999999999998636,2.7000000000000455,3.8999999999998636,5.5,1918.9493208818735,1.0
2023-09-14 08:30:00-04:00,2023,lower,0.5749224888881187,False,1.5,4.0,1.8999999999998636,3.7000000000000455,1925.6772464228588,1.0
2023-09-18 19:30:00-04:00,2023,upper,0.3445488109980467,False,0.3999999999998636,1.0,0.7000000000000455,5.899999999999864,1955.8371651536338,-1.0
2023-09-27 08:20:00-04:00,2023,lower,-1.5008281973973283,False,1.1000000000001364,1.699999999999818,1.7999999999999545,5.5,1908.112834846366,1.0
2023-09-20 09:43:00-04:00,2023,upper,3.6709094807566562,False,1.2999999999999545,1.5,3.5,4.2999999999999545,1961.054734910367,-1.0
2023-09-27 07:00:00-04:00,2023,lower,-1.2830938933075215,False,0.5,2.400000000000091,2.900000000000091,4.900000000000091,1911.195265089633,1.0
2023-09-15 10:00:00-04:00,2023,upper,1.2764532740402104,False,1.5,3.699999999999818,10.199999999999818,3.400000000000091,1948.994684527599,-1.0
2023-09-27 11:10:00-04:00,2023,lower,-1.725893791901303,False,1.2999999999999545,3.599999999999909,5.599999999999909,5.5,1900.305315472401,1.0
2023-09-26 09:32:00-04:00,2023,lower,-1.5402111121041135,False,1.2000000000000455,5.100000000000136,8.0,5.5,1923.1905274544556,1.0
2023-09-26 09:32:00-04:00,2023,lower,-1.5402111121041135,False,1.2000000000000455,5.100000000000136,8.0,5.5,1923.3879214903914,1.0
2023-09-25 22:35:00-04:00,2023,lower,-2.6366088578436044,False,0.40000000000009095,1.1000000000001364,1.2000000000000455,1.0,1931.8038183234066,1.0
2023-09-26 08:38:00-04:00,2023,lower,-1.6858757546491003,False,1.0,2.7000000000000455,3.2000000000000455,5.5,1926.8459831543532,1.0
2023-10-18 08:23:00-04:00,2023,upper,0.5485958419000336,False,2.0,3.6000000000001364,3.6000000000001364,10.5,1962.817979275562,-1.0
2023-09-27 07:15:00-04:00,2023,lower,-1.9375791175430068,False,0.8000000000001819,2.400000000000091,2.900000000000091,4.900000000000091,1910.882020724438,1.0
2023-10-18 09:47:00-04:00,2023,upper,3.3917199715051507,False,3.2000000000000455,3.900000000000091,5.7999999999999545,10.5,1974.400238759684,-1.0
2023-09-26 14:26:00-04:00,2023,lower,-0.5671275077816782,False,0.5,1.5,1.599999999999909,12.799999999999955,1917.999761240316,1.0
2023-10-18 09:39:00-04:00,2023,upper,3.622987643854843,False,3.7000000000000455,3.900000000000091,5.7999999999999545,10.5,1971.2306871118008,-1.0
2023-09-27 00:30:00-04:00,2023,lower,-2.6049981372713775,False,0.7999999999999545,2.5,1.6000000000001364,4.400000000000091,1915.2193128881993,1.0
