level_id,level_idx,session_date,created_at,expiry_at,side,level,touched_at
73_lower,73,2018-04-16,2018-04-16 10:30:00-04:00,2018-05-14 10:30:00-04:00,lower,6622.978957697716,2018-04-23 14:53:00-04:00
74_upper,74,2018-04-17,2018-04-17 10:30:00-04:00,2018-05-15 10:30:00-04:00,upper,6807.322676529229,2018-04-17 11:21:00-04:00
74_lower,74,2018-04-17,2018-04-17 10:30:00-04:00,2018-05-15 10:30:00-04:00,lower,6704.802323470771,2018-04-20 10:52:00-04:00
75_upper,75,2018-04-18,2018-04-18 10:30:00-04:00,2018-05-16 10:30:00-04:00,upper,6878.402443091263,2018-05-09 13:28:00-04:00
75_lower,75,2018-04-18,2018-04-18 10:30:00-04:00,2018-05-16 10:30:00-04:00,lower,6772.097556908737,2018-04-19 11:15:00-04:00
76_upper,76,2018-04-19,2018-04-19 10:30:00-04:00,2018-05-17 10:30:00-04:00,upper,6855.341406254749,2018-05-09 12:27:00-04:00
76_lower,76,2018-04-19,2018-04-19 10:30:00-04:00,2018-05-17 10:30:00-04:00,lower,6760.658593745251,2018-04-19 12:00:00-04:00
77_upper,77,2018-04-20,2018-04-20 10:30:00-04:00,2018-05-18 10:30:00-04:00,upper,6808.785188843706,2018-05-06 22:10:00-04:00
77_lower,77,2018-04-20,2018-04-20 10:30:00-04:00,2018-05-18 10:30:00-04:00,lower,6692.214811156294,2018-04-20 11:10:00-04:00
78_upper,78,2018-04-23,2018-04-23 10:30:00-04:00,2018-05-21 10:30:00-04:00,upper,6742.9059969152895,2018-04-26 16:31:00-04:00
78_lower,78,2018-04-23,2018-04-23 10:30:00-04:00,2018-05-21 10:30:00-04:00,lower,6640.5940030847105,2018-04-23 14:09:00-04:00
79_upper,79,2018-04-24,2018-04-24 10:30:00-04:00,2018-05-22 10:30:00-04:00,upper,6746.297230748203,2018-04-26 16:44:00-04:00
79_lower,79,2018-04-24,2018-04-24 10:30:00-04:00,2018-05-22 10:30:00-04:00,lower,6593.577769251797,2018-04-24 11:01:00-04:00
80_upper,80,2018-04-25,2018-04-25 10:30:00-04:00,2018-05-23 10:30:00-04:00,upper,6589.1930771146535,2018-04-25 18:00:00-04:00
80_lower,80,2018-04-25,2018-04-25 10:30:00-04:00,2018-05-23 10:30:00-04:00,lower,6413.0569228853465,
81_upper,81,2018-04-26,2018-04-26 10:30:00-04:00,2018-05-24 10:30:00-04:00,upper,6670.626499387186,2018-04-26 14:42:00-04:00
81_lower,81,2018-04-26,2018-04-26 10:30:00-04:00,2018-05-24 10:30:00-04:00,lower,6546.873500612814,2018-05-03 10:55:00-04:00
82_upper,82,2018-04-27,2018-04-27 10:30:00-04:00,2018-05-25 10:30:00-04:00,upper,6824.803490481867,2018-05-07 00:05:00-04:00
82_lower,82,2018-04-27,2018-04-27 10:30:00-04:00,2018-05-25 10:30:00-04:00,lower,6630.946509518133,2018-04-27 10:54:00-04:00
83_upper,83,2018-04-30,2018-04-30 10:30:00-04:00,2018-05-28 10:30:00-04:00,upper,6733.261423053841,2018-05-01 16:30:00-04:00
83_lower,83,2018-04-30,2018-04-30 10:30:00-04:00,2018-05-28 10:30:00-04:00,lower,6637.613576946159,2018-04-30 11:50:00-04:00
84_upper,84,2018-05-01,2018-05-01 10:30:00-04:00,2018-05-29 10:30:00-04:00,upper,6654.076389634769,2018-05-01 14:45:00-04:00
84_lower,84,2018-05-01,2018-05-01 10:30:00-04:00,2018-05-29 10:30:00-04:00,lower,6546.673610365231,2018-05-03 10:56:00-04:00
85_upper,85,2018-05-02,2018-05-02 10:30:00-04:00,2018-05-30 10:30:00-04:00,upper,6741.091487351143,2018-05-04 11:04:00-04:00
85_lower,85,2018-05-02,2018-05-02 10:30:00-04:00,2018-05-30 10:30:00-04:00,lower,6646.158512648857,2018-05-02 15:49:00-04:00
86_upper,86,2018-05-03,2018-05-03 10:30:00-04:00,2018-05-31 10:30:00-04:00,upper,6671.6892035362835,2018-05-03 18:03:00-04:00
86_lower,86,2018-05-03,2018-05-03 10:30:00-04:00,2018-05-31 10:30:00-04:00,lower,6551.0607964637165,2018-05-03 10:55:00-04:00
87_upper,87,2018-05-04,2018-05-04 10:30:00-04:00,2018-06-01 10:30:00-04:00,upper,6721.35106713156,2018-05-04 10:39:00-04:00
87_lower,87,2018-05-04,2018-05-04 10:30:00-04:00,2018-06-01 10:30:00-04:00,lower,6552.14893286844,
88_upper,88,2018-05-07,2018-05-07 10:30:00-04:00,2018-06-04 10:30:00-04:00,upper,6858.438103542063,2018-05-09 12:28:00-04:00
88_lower,88,2018-05-07,2018-05-07 10:30:00-04:00,2018-06-04 10:30:00-04:00,lower,6764.686896457937,
