level_id,session_date,year,side,entry_time,exit_time,entry_price,tp_dist,sl_dist,pnl_pts,r_multiple,exit_reason
1307_upper,2023-02-01,2023,upper,2023-02-01 19:07:00+00:00,2023-02-01 14:31:00-05:00,12181.878467330138,60.5,55.0,60.5,1.1,TP
1306_upper,2023-02-01,2023,upper,2023-02-01 19:41:00+00:00,2023-02-01 14:46:00-05:00,12271.752985018262,60.5,58.75,-58.75,-1.0,SL
1309_upper,2023-02-02,2023,upper,2023-02-02 18:40:00+00:00,2023-02-02 14:34:00-05:00,12888.276264820282,111.5,83.0,111.5,1.3433734939759037,TP
1309_lower,2023-02-06,2023,lower,2023-02-06 09:53:00+00:00,2023-02-06 11:27:00-05:00,12500.098735179718,92.75,74.5,92.75,1.24496644295302,TP
1312_upper,2023-02-07,2023,upper,2023-02-07 17:47:00+00:00,2023-02-07 12:53:00-05:00,12679.456137181118,40.0,42.75,-42.75,-1.0,SL
1314_lower,2023-02-09,2023,lower,2023-02-09 18:57:00+00:00,2023-02-09 15:05:00-05:00,12492.511587784786,83.0,70.0,-70.0,-1.0,SL
1312_lower,2023-02-10,2023,lower,2023-02-10 09:56:00+00:00,2023-02-10 12:04:00-05:00,12340.168862818882,97.25,78.5,-78.5,-1.0,SL
1315_upper,2023-02-13,2023,upper,2023-02-13 18:33:00+00:00,2023-02-13 14:33:00-05:00,12565.85998910204,51.5,50.25,51.5,1.0248756218905473,TP
1316_upper,2023-02-14,2023,upper,2023-02-14 13:29:00+00:00,2023-02-14 08:30:00-05:00,12614.653492198106,68.0,58.25,68.0,1.167381974248927,TP
1318_lower,2023-02-17,2023,lower,2023-02-17 07:02:00+00:00,2023-02-17 09:53:00-05:00,12377.141552724202,90.5,69.5,-69.5,-1.0,SL
1321_lower,2023-02-21,2023,lower,2023-02-21 08:46:00+00:00,2023-02-21 03:51:00-05:00,12259.764318305486,21.75,28.25,-28.25,-1.0,SL
1322_lower,2023-02-22,2023,lower,2023-02-22 15:16:00+00:00,2023-02-22 10:57:00-05:00,12041.934029496524,70.0,63.0,70.0,1.1111111111111112,TP
1324_lower,2023-02-23,2023,lower,2023-02-23 16:43:00+00:00,2023-02-23 13:01:00-05:00,12041.70740201115,44.75,47.25,44.75,0.9470899470899471,TP
1308_lower,2023-02-24,2023,lower,2023-02-24 13:39:00+00:00,2023-02-24 09:40:00-05:00,11986.569081537058,55.0,50.0,55.0,1.1,TP
1325_upper,2023-02-27,2023,upper,2023-02-27 15:09:00+00:00,2023-02-27 10:36:00-05:00,12183.818814027736,72.5,63.75,72.5,1.1372549019607843,TP
1326_lower,2023-03-01,2023,lower,2023-03-01 15:11:00+00:00,2023-03-01 10:38:00-05:00,11962.934722229944,43.25,46.75,43.25,0.9251336898395722,TP
1327_lower,2023-03-02,2023,lower,2023-03-02 01:39:00+00:00,2023-03-02 03:04:00-05:00,11896.630632581931,65.5,60.0,-60.0,-1.0,SL
1328_upper,2023-03-03,2023,upper,2023-03-03 17:46:00+00:00,2023-03-03 14:29:00-05:00,12238.518763479362,70.5,60.25,-60.25,-1.0,SL
1323_upper,2023-03-06,2023,upper,2023-03-06 02:37:00+00:00,2023-03-06 10:09:00-05:00,12335.463802876478,86.75,67.5,-67.5,-1.0,SL
1331_lower,2023-03-07,2023,lower,2023-03-07 15:08:00+00:00,2023-03-07 10:23:00-05:00,12203.699916401045,53.25,51.75,53.25,1.0289855072463767,TP
1334_lower,2023-03-09,2023,lower,2023-03-09 19:31:00+00:00,2023-03-09 15:16:00-05:00,12076.023094059154,50.5,51.25,-51.25,-1.0,SL
1328_lower,2023-03-10,2023,lower,2023-03-10 18:32:00+00:00,2023-03-10 15:59:00-05:00,11829.731236520638,92.25,77.5,11.51876347936195,0.1486292061853155,cutoff
1335_upper,2023-03-13,2023,upper,2023-03-13 06:12:00+00:00,2023-03-13 04:02:00-04:00,12213.8751113092,77.5,65.5,77.5,1.183206106870229,TP
1336_upper,2023-03-14,2023,upper,2023-03-14 13:16:00+00:00,2023-03-14 10:31:00-04:00,12215.005555992417,116.75,96.75,-96.75,-1.0,SL
1333_upper,2023-03-15,2023,upper,2023-03-15 02:08:00+00:00,2023-03-15 05:39:00-04:00,12357.00815734723,80.25,64.0,80.25,1.25390625,TP
1338_upper,2023-03-15,2023,upper,2023-03-15 19:01:00+00:00,2023-03-15 15:42:00-04:00,12403.0795930344,93.5,78.5,93.5,1.1910828025477707,TP
1337_upper,2023-03-16,2023,upper,2023-03-16 00:29:00+00:00,2023-03-16 08:42:00-04:00,12439.642295720492,78.0,66.25,78.0,1.1773584905660377,TP
1321_upper,2023-03-16,2023,upper,2023-03-16 14:54:00+00:00,2023-03-16 11:26:00-04:00,12516.985681694514,73.0,65.25,-65.25,-1.0,SL
1341_upper,2023-03-21,2023,upper,2023-03-21 13:32:00+00:00,2023-03-21 10:23:00-04:00,12804.894940581522,48.5,46.0,48.5,1.0543478260869565,TP
1340_upper,2023-03-22,2023,upper,2023-03-22 18:00:00+00:00,2023-03-22 14:05:00-04:00,12950.11013849888,50.0,47.5,-47.5,-1.0,SL
1346_lower,2023-03-28,2023,lower,2023-03-28 13:33:00+00:00,2023-03-28 09:42:00-04:00,12736.870630244795,49.0,45.75,-45.75,-1.0,SL
1347_upper,2023-03-29,2023,upper,2023-03-29 18:47:00+00:00,2023-03-29 15:49:00-04:00,12939.231501338854,52.25,49.75,-49.75,-1.0,SL
1345_upper,2023-03-30,2023,upper,2023-03-30 09:27:00+00:00,2023-03-30 08:35:00-04:00,13008.37954121838,56.25,49.5,-49.5,-1.0,SL
1349_upper,2023-03-31,2023,upper,2023-03-31 16:25:00+00:00,2023-03-31 15:10:00-04:00,13229.398844923153,46.5,46.0,-46.0,-1.0,SL
1352_lower,2023-04-05,2023,lower,2023-04-05 14:19:00+00:00,2023-04-05 10:44:00-04:00,13100.946936245124,49.5,50.25,-50.25,-1.0,SL
1353_lower,2023-04-06,2023,lower,2023-04-06 13:34:00+00:00,2023-04-06 10:06:00-04:00,12969.69249010037,64.75,57.25,64.75,1.1310043668122272,TP
1355_upper,2023-04-11,2023,upper,2023-04-11 09:02:00+00:00,2023-04-11 07:14:00-04:00,13195.157886365982,54.0,48.5,54.0,1.1134020618556701,TP
1356_lower,2023-04-12,2023,lower,2023-04-12 19:17:00+00:00,2023-04-12 15:59:00-04:00,12956.380436069092,51.75,51.5,2.1195639309080434,0.04115658118268045,cutoff
1358_upper,2023-04-14,2023,upper,2023-04-14 14:04:00+00:00,2023-04-14 10:09:00-04:00,13252.1139706832,77.0,70.25,77.0,1.096085409252669,TP
1361_lower,2023-04-20,2023,lower,2023-04-20 08:37:00+00:00,2023-04-20 09:41:00-04:00,13049.068378614227,53.75,51.25,53.75,1.048780487804878,TP
1360_lower,2023-04-21,2023,lower,2023-04-21 10:50:00+00:00,2023-04-21 09:11:00-04:00,13017.100469293404,48.75,47.0,48.75,1.0372340425531914,TP
1359_lower,2023-04-24,2023,lower,2023-04-24 15:54:00+00:00,2023-04-24 12:37:00-04:00,12969.945381174746,41.25,43.25,41.25,0.953757225433526,TP
1362_lower,2023-04-25,2023,lower,2023-04-25 14:07:00+00:00,2023-04-25 12:01:00-04:00,12962.19925758433,46.25,47.5,-47.5,-1.0,SL
1367_upper,2023-04-27,2023,upper,2023-04-27 14:34:00+00:00,2023-04-27 11:25:00-04:00,13095.741714779244,47.0,50.0,-50.0,-1.0,SL
1353_upper,2023-05-01,2023,upper,2023-05-01 02:55:00+00:00,2023-05-01 08:14:00-04:00,13337.05750989963,44.0,41.5,44.0,1.0602409638554218,TP
1370_lower,2023-05-02,2023,lower,2023-05-02 14:36:00+00:00,2023-05-02 11:01:00-04:00,13176.138032476792,32.25,39.0,-39.0,-1.0,SL
1371_lower,2023-05-03,2023,lower,2023-05-03 19:34:00+00:00,2023-05-03 15:59:00-04:00,13101.644479342363,84.25,79.25,-1.644479342363411,-0.020750527979349034,cutoff
1369_lower,2023-05-04,2023,lower,2023-05-04 13:44:00+00:00,2023-05-04 13:17:00-04:00,13042.435086729922,67.25,60.0,67.25,1.1208333333333333,TP
1373_upper,2023-05-05,2023,upper,2023-05-05 14:09:00+00:00,2023-05-05 10:40:00-04:00,13224.223199417049,48.25,50.0,-50.0,-1.0,SL
1369_upper,2023-05-10,2023,upper,2023-05-10 13:32:00+00:00,2023-05-10 09:40:00-04:00,13410.064913270078,44.0,48.0,44.0,0.9166666666666666,TP
1375_upper,2023-05-10,2023,upper,2023-05-10 14:04:00+00:00,2023-05-10 10:18:00-04:00,13420.995773064911,33.25,40.25,33.25,0.8260869565217391,TP
1371_upper,2023-05-11,2023,upper,2023-05-11 07:46:00+00:00,2023-05-11 09:32:00-04:00,13454.855520657637,65.0,57.75,65.0,1.1255411255411256,TP
1378_upper,2023-05-16,2023,upper,2023-05-16 16:08:00+00:00,2023-05-16 14:31:00-04:00,13549.460900971866,36.25,40.0,36.25,0.90625,TP
1381_upper,2023-05-17,2023,upper,2023-05-17 16:54:00+00:00,2023-05-17 13:27:00-04:00,13604.1680838707,38.75,40.0,-40.0,-1.0,SL
1383_upper,2023-05-18,2023,upper,2023-05-18 19:44:00+00:00,2023-05-18 15:59:00-04:00,13876.997621295764,54.0,52.75,-12.752378704235525,-0.24175125505659764,cutoff
1384_lower,2023-05-23,2023,lower,2023-05-23 18:18:00+00:00,2023-05-23 15:20:00-04:00,13756.407476337765,45.75,45.75,-45.75,-1.0,SL
1385_lower,2023-05-24,2023,lower,2023-05-24 07:03:00+00:00,2023-05-24 09:00:00-04:00,13706.076931880389,79.5,63.5,-63.5,-1.0,SL
1386_upper,2023-05-25,2023,upper,2023-05-25 13:06:00+00:00,2023-05-25 09:34:00-04:00,13975.37052097448,87.75,74.75,87.75,1.173913043478261,TP
1384_upper,2023-05-26,2023,upper,2023-05-26 11:26:00+00:00,2023-05-26 09:50:00-04:00,14037.217523662235,73.0,64.75,-64.75,-1.0,SL
1390_upper,2023-05-30,2023,upper,2023-05-30 09:20:00+00:00,2023-05-30 08:07:00-04:00,14500.603669049202,36.75,40.5,-40.5,-1.0,SL
1391_lower,2023-05-31,2023,lower,2023-05-31 15:30:00+00:00,2023-05-31 13:30:00-04:00,14264.119260834668,63.75,59.25,63.75,1.0759493670886076,TP
1393_upper,2023-06-01,2023,upper,2023-06-01 17:49:00+00:00,2023-06-01 15:05:00-04:00,14473.770305866075,47.25,46.25,-46.25,-1.0,SL
1392_upper,2023-06-02,2023,upper,2023-06-02 09:14:00+00:00,2023-06-02 09:34:00-04:00,14550.866559532677,72.5,61.25,-61.25,-1.0,SL
