sess_date,year,side,touched_at,exit_ts,level,anchor,stop_pts,pnl
2025-04-28,2025,upper,2025-04-28 09:32:00-04:00,2025-04-28 15:00:00-04:00,5567.871098488309,21.25,31.875,31.875
2025-04-30,2025,lower,2025-04-30 09:41:00-04:00,2025-04-30 15:00:00-04:00,5475.7675688809395,65.0,97.5,65.2324311190605
2025-05-01,2025,upper,2025-04-30 20:25:00-04:00,2025-05-01 15:00:00-04:00,5640.2324311190605,12.25,18.375,-18.375
2025-05-08,2025,upper,2025-05-08 04:41:00-04:00,2025-05-08 15:00:00-04:00,5702.352075290865,14.75,22.125,22.125
2025-05-08,2025,upper,2025-05-08 05:43:00-04:00,2025-05-08 15:00:00-04:00,5713.332068711482,17.75,26.625,26.625
2025-05-12,2025,upper,2025-05-12 02:45:00-04:00,2025-05-12 15:00:00-04:00,5768.813262700623,8.75,13.125,-13.125
2025-05-16,2025,upper,2025-05-16 04:36:00-04:00,2025-05-16 15:00:00-04:00,5949.540383329317,18.5,27.75,-19.459616670683317
2025-05-21,2025,lower,2025-05-21 06:22:00-04:00,2025-05-21 15:00:00-04:00,5907.157243991955,18.0,27.0,27.0
2025-05-22,2025,lower,2025-05-22 07:58:00-04:00,2025-05-22 15:00:00-04:00,5847.15410338995,9.25,13.875,-13.875
2025-05-23,2025,lower,2025-05-23 07:44:00-04:00,2025-05-23 15:00:00-04:00,5799.735744915879,10.75,16.125,-16.125
2025-05-28,2025,upper,2025-05-28 08:44:00-04:00,2025-05-28 15:00:00-04:00,5944.980540500303,9.0,13.5,13.5
2025-05-29,2025,upper,2025-05-28 19:07:00-04:00,2025-05-29 15:00:00-04:00,5966.753901847524,30.25,45.375,45.375
2025-05-29,2025,upper,2025-05-28 19:15:00-04:00,2025-05-29 15:00:00-04:00,5985.776665718287,30.25,45.375,45.375
2025-05-29,2025,upper,2025-05-28 19:16:00-04:00,2025-05-29 15:00:00-04:00,5995.019457226854,30.25,45.375,45.375
2025-05-29,2025,upper,2025-05-28 22:21:00-04:00,2025-05-29 15:00:00-04:00,6003.59589661005,16.25,24.375,24.375
2025-05-29,2025,upper,2025-05-28 22:21:00-04:00,2025-05-29 15:00:00-04:00,6003.673797690767,16.25,24.375,24.375
2025-06-05,2025,upper,2025-06-05 08:49:00-04:00,2025-06-05 15:00:00-04:00,6003.46319413514,7.5,11.25,11.25
2025-06-05,2025,upper,2025-06-05 08:49:00-04:00,2025-06-05 15:00:00-04:00,6013.592756008045,7.5,11.25,11.25
2025-06-06,2025,upper,2025-06-06 09:45:00-04:00,2025-06-06 15:00:00-04:00,6023.324718165416,28.5,42.75,7.574718165416016
2025-06-11,2025,upper,2025-06-11 08:30:00-04:00,2025-06-11 15:00:00-04:00,6056.734968227877,14.75,22.125,22.125
2025-06-11,2025,upper,2025-06-11 08:30:00-04:00,2025-06-11 15:00:00-04:00,6068.527307115555,14.75,22.125,22.125
2025-06-11,2025,upper,2025-06-11 08:30:00-04:00,2025-06-11 15:00:00-04:00,6060.054198414322,14.75,22.125,22.125
2025-06-11,2025,upper,2025-06-11 08:30:00-04:00,2025-06-11 15:00:00-04:00,6066.59578899725,14.75,22.125,22.125
2025-06-12,2025,lower,2025-06-12 04:02:00-04:00,2025-06-12 15:00:00-04:00,5993.007162809235,24.5,36.75,36.75
2025-06-13,2025,lower,2025-06-12 20:05:00-04:00,2025-06-13 15:00:00-04:00,5971.02921100275,24.0,36.0,-36.0
2025-06-16,2025,upper,2025-06-16 03:15:00-04:00,2025-06-16 15:00:00-04:00,6065.303595148128,11.75,17.625,-17.625
2025-06-19,2025,lower,2025-06-18 21:04:00-04:00,2025-06-19 15:00:00-04:00,6008.9530460851,21.0,31.5,-31.5
2025-06-20,2025,upper,2025-06-20 09:22:00-04:00,2025-06-20 15:00:00-04:00,6060.046160107782,19.5,29.25,29.25
2025-06-24,2025,upper,2025-06-23 19:18:00-04:00,2025-06-24 15:00:00-04:00,6111.742837190765,30.25,45.375,-38.757162809234615
2025-06-26,2025,upper,2025-06-26 10:31:00-04:00,2025-06-26 15:00:00-04:00,6181.240527649999,10.5,15.75,-15.75
2025-06-27,2025,upper,2025-06-27 08:00:00-04:00,2025-06-27 15:00:00-04:00,6220.50696905375,9.5,14.25,14.25
2025-07-02,2025,upper,2025-07-02 02:46:00-04:00,2025-07-02 15:00:00-04:00,6270.352513781453,5.0,7.5,7.5
2025-07-03,2025,upper,2025-07-03 08:30:00-04:00,2025-07-03 15:00:00-04:00,6293.381203446972,4.25,6.375,6.375
2025-07-03,2025,upper,2025-07-03 08:35:00-04:00,2025-07-03 15:00:00-04:00,6295.112760701391,4.25,6.375,6.375
2025-07-03,2025,upper,2025-07-03 09:35:00-04:00,2025-07-03 15:00:00-04:00,6303.681376548457,17.5,26.25,-26.25
2025-07-18,2025,upper,2025-07-17 19:12:00-04:00,2025-07-18 15:00:00-04:00,6345.9657767806075,5.25,7.875,-7.875
2025-07-21,2025,upper,2025-07-21 09:52:00-04:00,2025-07-21 15:00:00-04:00,6361.160153189873,8.25,12.375,-12.375
2025-07-24,2025,upper,2025-07-24 10:56:00-04:00,2025-07-24 15:00:00-04:00,6412.435287392501,15.75,23.625,3.685287392500868
2025-07-31,2025,upper,2025-07-31 03:30:00-04:00,2025-07-31 15:00:00-04:00,6461.8003904410625,7.25,10.875,10.875
2025-08-01,2025,lower,2025-08-01 03:51:00-04:00,2025-08-01 15:00:00-04:00,6313.05070137579,10.0,15.0,-15.0
2025-08-07,2025,upper,2025-08-07 03:16:00-04:00,2025-08-07 15:00:00-04:00,6392.083014716898,7.0,10.5,-10.5
2025-08-11,2025,upper,2025-08-10 21:39:00-04:00,2025-08-11 15:00:00-04:00,6427.366525929598,8.75,13.125,13.125
2025-08-13,2025,upper,2025-08-12 19:49:00-04:00,2025-08-13 15:00:00-04:00,6471.450560316023,4.5,6.75,6.75
2025-08-13,2025,upper,2025-08-12 19:54:00-04:00,2025-08-13 15:00:00-04:00,6473.20623358895,4.5,6.75,6.75
2025-08-13,2025,upper,2025-08-13 04:34:00-04:00,2025-08-13 15:00:00-04:00,6482.495643622634,9.0,13.5,-13.5
2025-08-20,2025,lower,2025-08-19 21:36:00-04:00,2025-08-20 15:00:00-04:00,6418.4475765368525,5.25,7.875,-7.875
2025-08-22,2025,upper,2025-08-22 10:01:00-04:00,2025-08-22 15:00:00-04:00,6460.366556683146,28.5,42.75,-26.633443316854027
2025-09-02,2025,lower,2025-09-02 03:49:00-04:00,2025-09-02 15:00:00-04:00,6439.712953124815,8.5,12.75,-12.75
2025-09-04,2025,upper,2025-09-03 20:22:00-04:00,2025-09-04 15:00:00-04:00,6469.954802864732,5.0,7.5,7.5
