sess_date,year,side,touched_at,level,anchor,cap,pnl_be60,exit_be60,mae,mfe,uw60,be_dd
2021-05-04,2021,lower,2021-05-04 09:33:00-04:00,13623.32431093971,38.0,57.0,-57.0,SL,-61.074,31.926,,False
2021-05-06,2021,lower,2021-05-06 10:21:00-04:00,13388.96846679183,84.5,126.75,126.75,TP,0.0,137.282,False,False
2021-05-07,2021,upper,2021-05-07 08:30:00-04:00,13677.48205119757,17.0,25.5,-25.5,SL,-68.268,0.0,,False
2021-05-10,2021,lower,2021-05-10 10:30:00-04:00,13495.178507508765,157.0,200.0,0.0,BE,-41.929,30.321,True,True
2021-05-11,2021,lower,2021-05-10 20:54:00-04:00,13256.14294880243,16.0,24.0,-24.0,SL,-29.393,0.0,,False
2021-05-13,2021,lower,2021-05-13 04:50:00-04:00,12917.82391110361,115.25,172.875,172.875,TP,-2.824,175.926,False,False
2021-05-19,2021,lower,2021-05-18 20:07:00-04:00,13159.67258306895,56.5,84.75,0.0,BE,-1.673,57.077,False,False
2021-05-19,2021,lower,2021-05-19 02:35:00-04:00,13107.509969965256,21.75,32.625,32.625,TP,0.0,39.99,,False
2021-05-19,2021,lower,2021-05-19 04:46:00-04:00,13034.817106139166,89.0,133.5,0.0,BE,-4.067,52.683,False,False
2021-05-21,2021,upper,2021-05-20 20:09:00-04:00,13529.45241693105,27.0,40.5,-0.0,BE,-14.298,6.452,True,True
2021-05-21,2021,upper,2021-05-21 09:28:00-04:00,13556.392993626328,29.5,44.25,44.25,TP,-13.607,51.143,,False
2021-05-25,2021,upper,2021-05-25 02:14:00-04:00,13721.457519968146,30.75,46.125,-0.0,BE,-17.292,11.708,False,False
2021-06-03,2021,lower,2021-06-03 06:58:00-04:00,13572.782154047016,35.5,53.25,-53.25,SL,-54.532,8.468,,False
2021-06-04,2021,upper,2021-06-04 10:01:00-04:00,13718.091853387603,112.25,168.375,-0.0,BE,-38.158,0.0,True,True
2021-06-08,2021,upper,2021-06-07 19:24:00-04:00,13833.048159451191,14.25,21.375,-0.0,BE,-11.702,15.048,True,True
2021-06-08,2021,upper,2021-06-07 19:24:00-04:00,13833.96022555264,14.25,21.375,-0.0,BE,-10.79,15.96,True,True
2021-06-08,2021,upper,2021-06-07 21:01:00-04:00,13847.842845952984,26.25,39.375,-0.0,BE,-17.657,0.0,True,True
2021-06-08,2021,upper,2021-06-07 21:13:00-04:00,13861.83358656822,26.25,39.375,39.375,TP,-3.666,40.084,False,False
2021-06-08,2021,upper,2021-06-08 07:42:00-04:00,13867.900638054682,62.25,93.375,-0.0,BE,-28.849,0.0,True,True
2021-06-08,2021,upper,2021-06-08 07:53:00-04:00,13876.402438307223,62.25,93.375,-0.0,BE,-20.348,7.152,False,False
2021-06-10,2021,upper,2021-06-10 09:46:00-04:00,13935.08558585964,109.5,164.25,-0.0,BE,-29.664,109.336,False,False
2021-06-14,2021,upper,2021-06-14 06:38:00-04:00,14029.2275428399,10.5,15.75,-0.0,BE,-14.022,3.728,True,True
2021-06-15,2021,upper,2021-06-14 21:15:00-04:00,14152.666148882203,41.25,61.875,-0.0,BE,-2.584,30.916,False,False
