sess_date,year,side,touched_at,level,anchor,cap,pnl_standard,exit_standard
2022-03-29,2022,upper,2022-03-29 05:07:00-04:00,15057.055654262684,27.5,41.25,41.25,TP
2022-03-31,2022,lower,2022-03-31 10:02:00-04:00,14970.528899214507,134.75,200.0,74.47110078549304,cutoff
2022-04-01,2022,lower,2022-04-01 09:50:00-04:00,14854.153631311128,59.5,89.25,-89.25,SL
2022-04-06,2022,lower,2022-04-06 06:40:00-04:00,14660.552011881444,66.0,99.0,-99.0,SL
2022-04-11,2022,lower,2022-04-10 20:00:00-04:00,14286.08670759079,55.5,83.25,-83.25,SL
2022-04-14,2022,upper,2022-04-14 00:30:00-04:00,14285.013848168608,28.5,42.75,42.75,TP
2022-04-18,2022,lower,2022-04-17 19:46:00-04:00,13748.176154048422,111.0,166.5,166.5,TP
2022-04-20,2022,upper,2022-04-20 07:55:00-04:00,14264.07134928854,34.0,51.0,51.0,TP
2022-04-22,2022,lower,2022-04-22 10:20:00-04:00,13609.250742000215,161.5,200.0,-200.0,SL
2022-05-06,2022,lower,2022-05-06 09:35:00-04:00,12644.912422332749,178.5,200.0,200.0,TP
2022-05-09,2022,lower,2022-05-09 04:31:00-04:00,12476.874443244957,97.5,146.25,-146.25,SL
2022-05-10,2022,lower,2022-05-09 20:16:00-04:00,12107.686455371198,36.0,54.0,54.0,TP
2022-05-11,2022,lower,2022-05-11 08:55:00-04:00,12122.912972747228,42.75,64.125,64.125,TP
2022-05-12,2022,lower,2022-05-12 03:22:00-04:00,11852.015796082807,78.5,117.75,117.75,TP
2022-05-13,2022,upper,2022-05-13 09:54:00-04:00,12268.313117446343,34.25,51.375,-51.375,SL
2022-05-19,2022,lower,2022-05-19 03:33:00-04:00,11779.567880580866,36.75,55.125,-55.125,SL
2022-05-24,2022,lower,2022-05-24 10:15:00-04:00,11583.832248436425,175.75,200.0,200.0,TP
2022-05-26,2022,upper,2022-05-26 09:43:00-04:00,12058.985649560062,62.0,93.0,-93.0,SL
2022-05-27,2022,upper,2022-05-27 05:51:00-04:00,12352.814438592224,103.0,154.5,-154.5,SL
2022-05-30,2022,upper,2022-05-29 19:14:00-04:00,12733.78235199662,48.25,72.375,-72.375,SL
2022-05-31,2022,lower,2022-05-31 09:34:00-04:00,12581.52690726071,84.5,126.75,126.75,TP
2022-06-07,2022,lower,2022-06-06 21:26:00-04:00,12495.726312429277,62.25,93.375,93.375,TP
2022-06-07,2022,lower,2022-06-07 08:31:00-04:00,12439.248149815852,71.75,107.625,107.625,TP
2022-06-08,2022,upper,2022-06-08 09:49:00-04:00,12764.47816450088,63.0,94.5,94.5,TP
2022-06-10,2022,lower,2022-06-10 08:30:00-04:00,12232.779875369513,46.0,69.0,-69.0,SL
2022-06-13,2022,lower,2022-06-12 21:23:00-04:00,11607.310561407776,61.0,91.5,-91.5,SL
2022-06-16,2022,lower,2022-06-16 09:54:00-04:00,11257.956617134842,107.5,161.25,-161.25,SL
2022-06-21,2022,upper,2022-06-21 03:31:00-04:00,11507.124027557198,50.5,75.75,-75.75,SL
2022-06-24,2022,upper,2022-06-23 22:40:00-04:00,11818.83622306228,63.75,95.625,-95.625,SL
2022-06-27,2022,upper,2022-06-27 03:34:00-04:00,12236.810160825215,37.25,55.875,55.875,TP
2022-06-29,2022,lower,2022-06-29 09:45:00-04:00,11573.314839174785,85.5,128.25,128.25,TP
2022-06-30,2022,lower,2022-06-30 10:02:00-04:00,11378.472697492016,195.25,200.0,200.0,TP
2022-06-30,2022,lower,2022-06-30 10:02:00-04:00,11380.624869557465,195.25,200.0,200.0,TP
2022-07-05,2022,upper,2022-07-04 19:06:00-04:00,11729.578380953579,103.0,154.5,154.5,TP
2022-07-07,2022,upper,2022-07-07 10:52:00-04:00,12064.931469469657,136.25,200.0,-66.3185305303432,cutoff
2022-07-12,2022,lower,2022-07-12 02:01:00-04:00,11783.392712713761,20.5,30.75,30.75,TP
2022-07-13,2022,lower,2022-07-13 08:30:00-04:00,11579.068530530343,33.0,49.5,49.5,TP
2022-07-13,2022,lower,2022-07-13 08:30:00-04:00,11709.247550843076,33.0,49.5,-49.5,SL
2022-07-15,2022,upper,2022-07-15 08:48:00-04:00,11888.583341969457,38.25,57.375,-57.375,SL
2022-07-18,2022,upper,2022-07-18 03:37:00-04:00,12162.60462922617,31.75,47.625,47.625,TP
2022-07-20,2022,upper,2022-07-19 22:36:00-04:00,12354.526735464444,29.0,43.5,43.5,TP
2022-07-20,2022,upper,2022-07-20 10:47:00-04:00,12442.439464275212,94.25,141.375,-11.31053572478777,cutoff
2022-07-21,2022,upper,2022-07-21 08:43:00-04:00,12544.34347200561,24.75,37.125,37.125,TP
2022-07-26,2022,lower,2022-07-26 09:45:00-04:00,12210.07686467328,50.25,75.375,-75.375,SL
2022-08-01,2022,upper,2022-08-01 10:51:00-04:00,13088.189952220942,172.25,200.0,117.68995222094236,cutoff
2022-08-03,2022,upper,2022-08-03 09:56:00-04:00,13108.99430266321,46.0,69.0,-69.0,SL
2022-08-04,2022,upper,2022-08-04 06:04:00-04:00,13312.843340278974,53.75,80.625,80.625,TP
2022-08-09,2022,lower,2022-08-09 09:31:00-04:00,13061.266921843504,39.75,59.625,-59.625,SL
2022-08-10,2022,upper,2022-08-10 08:30:00-04:00,13302.994635853946,36.0,54.0,-54.0,SL
2022-08-11,2022,upper,2022-08-10 20:27:00-04:00,13439.758793471228,27.25,40.875,-40.875,SL
2022-08-15,2022,upper,2022-08-15 09:54:00-04:00,13606.256169569082,48.75,73.125,-73.125,SL
2022-08-19,2022,lower,2022-08-19 06:43:00-04:00,13365.945639921973,31.5,47.25,47.25,TP
2022-08-19,2022,lower,2022-08-19 09:50:00-04:00,13321.025025966936,34.0,51.0,-51.0,SL
2022-08-22,2022,lower,2022-08-22 03:26:00-04:00,13148.997800446936,38.25,57.375,-57.375,SL
2022-08-23,2022,lower,2022-08-23 02:21:00-04:00,12840.755364146054,43.75,65.625,65.625,TP
2022-08-23,2022,lower,2022-08-23 02:36:00-04:00,12836.79262784472,43.75,65.625,65.625,TP
2022-08-25,2022,upper,2022-08-25 10:25:00-04:00,13096.517773170734,87.0,130.5,33.76777317073356,cutoff
2022-08-26,2022,upper,2022-08-26 09:03:00-04:00,13169.443883299631,78.75,118.125,118.125,TP
2022-08-30,2022,lower,2022-08-30 10:46:00-04:00,12284.974091751095,126.5,189.75,23.27590824890467,cutoff
2022-09-02,2022,upper,2022-09-02 08:38:00-04:00,12400.766479503596,45.5,68.25,68.25,TP
2022-09-06,2022,lower,2022-09-06 10:12:00-04:00,11943.492632717136,168.75,200.0,200.0,TP
2022-09-06,2022,lower,2022-09-06 10:13:00-04:00,11931.358520496404,168.75,200.0,200.0,TP
